Wiki,Metric,Sub-Metric,Editors,Values,Retrieval-Date
Hungarian (hu),Edits,Non-Articles,Humans,9017,2023-08-01
Icelandic (is),Pages,Articles,Bots,11,2023-08-01
Icelandic (is),Pages,Articles,Humans,57005,2023-08-01
Icelandic (is),Pages,Non-Articles,Bots,496,2023-08-01
Icelandic (is),Pages,Non-Articles,Humans,54304,2023-08-01
Icelandic (is),Edits,Articles,Bots,1635,2023-08-01
Icelandic (is),Edits,Articles,Humans,2207,2023-08-01
Icelandic (is),Edits,Non-Articles,Bots,12,2023-08-01
Icelandic (is),Edits,Non-Articles,Humans,285,2023-08-01
Ido (io),Pages,Articles,Bots,0,2023-08-01
Ido (io),Pages,Articles,Humans,38533,2023-08-01
Ido (io),Pages,Non-Articles,Bots,765,2023-08-01
Ido (io),Pages,Non-Articles,Humans,10847,2023-08-01
Ido (io),Edits,Articles,Bots,0,2023-08-01
Ido (io),Edits,Articles,Humans,1101,2023-08-01
Ido (io),Edits,Non-Articles,Bots,4,2023-08-01
Ido (io),Edits,Non-Articles,Humans,101,2023-08-01
Igbo (ig),Pages,Articles,Bots,0,2023-08-01
Igbo (ig),Pages,Articles,Humans,18663,2023-08-01
Igbo (ig),Pages,Non-Articles,Bots,295,2023-08-01
Igbo (ig),Pages,Non-Articles,Humans,3572,2023-08-01
Igbo (ig),Edits,Articles,Bots,1,2023-08-01
Igbo (ig),Edits,Articles,Humans,1794,2023-08-01
Igbo (ig),Edits,Non-Articles,Bots,20,2023-08-01
Igbo (ig),Edits,Non-Articles,Humans,7,2023-08-01
Ilocano (ilo),Pages,Articles,Bots,0,2023-08-01
Ilocano (ilo),Pages,Articles,Humans,15379,2023-08-01
Ilocano (ilo),Pages,Non-Articles,Bots,5963,2023-08-01
Ilocano (ilo),Pages,Non-Articles,Humans,29566,2023-08-01
Ilocano (ilo),Edits,Articles,Bots,56,2023-08-01
Ilocano (ilo),Edits,Articles,Humans,15,2023-08-01
Ilocano (ilo),Edits,Non-Articles,Bots,9,2023-08-01
Ilocano (ilo),Edits,Non-Articles,Humans,39,2023-08-01
Inari Sámi (smn),Pages,Articles,Bots,0,2023-08-01
Inari Sámi (smn),Pages,Articles,Humans,5278,2023-08-01
Inari Sámi (smn),Pages,Non-Articles,Bots,4,2023-08-01
Inari Sámi (smn),Pages,Non-Articles,Humans,11191,2023-08-01
Inari Sámi (smn),Edits,Articles,Bots,7,2023-08-01
Inari Sámi (smn),Edits,Articles,Humans,258,2023-08-01
Inari Sámi (smn),Edits,Non-Articles,Bots,1,2023-08-01
Inari Sámi (smn),Edits,Non-Articles,Humans,275,2023-08-01
Indonesian (id),Pages,Articles,Bots,158934,2023-08-01
Indonesian (id),Pages,Articles,Humans,497375,2023-08-01
Indonesian (id),Pages,Non-Articles,Bots,1681888,2023-08-01
Indonesian (id),Pages,Non-Articles,Humans,565652,2023-08-01
Indonesian (id),Edits,Articles,Bots,35318,2023-08-01
Indonesian (id),Edits,Articles,Humans,104482,2023-08-01
Indonesian (id),Edits,Non-Articles,Bots,15422,2023-08-01
Indonesian (id),Edits,Non-Articles,Humans,16639,2023-08-01
Ingush (inh),Pages,Articles,Bots,0,2023-08-01
Ingush (inh),Pages,Articles,Humans,2203,2023-08-01
Ingush (inh),Pages,Non-Articles,Bots,7,2023-08-01
Ingush (inh),Pages,Non-Articles,Humans,6783,2023-08-01
Ingush (inh),Edits,Articles,Bots,2,2023-08-01
Ingush (inh),Edits,Articles,Humans,44,2023-08-01
Ingush (inh),Edits,Non-Articles,Bots,3,2023-08-01
Ingush (inh),Edits,Non-Articles,Humans,80,2023-08-01
Interlingua (ia),Pages,Articles,Bots,296,2023-08-01
Interlingua (ia),Pages,Articles,Humans,30747,2023-08-01
Interlingua (ia),Pages,Non-Articles,Bots,500,2023-08-01
Interlingua (ia),Pages,Non-Articles,Humans,8739,2023-08-01
Interlingua (ia),Edits,Articles,Bots,4,2023-08-01
Interlingua (ia),Edits,Articles,Humans,496,2023-08-01
Interlingua (ia),Edits,Non-Articles,Bots,3,2023-08-01
Interlingua (ia),Edits,Non-Articles,Humans,115,2023-08-01
Interlingue (ie),Pages,Articles,Bots,0,2023-08-01
Interlingue (ie),Pages,Articles,Humans,11788,2023-08-01
Interlingue (ie),Pages,Non-Articles,Bots,334,2023-08-01
Interlingue (ie),Pages,Non-Articles,Humans,2906,2023-08-01
Interlingue (ie),Edits,Articles,Bots,10,2023-08-01
Interlingue (ie),Edits,Articles,Humans,256,2023-08-01
Interlingue (ie),Edits,Non-Articles,Bots,2,2023-08-01
Interlingue (ie),Edits,Non-Articles,Humans,8,2023-08-01
Inuktitut (iu),Pages,Articles,Bots,0,2023-08-01
Inuktitut (iu),Pages,Articles,Humans,566,2023-08-01
Inuktitut (iu),Pages,Non-Articles,Bots,191,2023-08-01
Inuktitut (iu),Pages,Non-Articles,Humans,1370,2023-08-01
Inuktitut (iu),Edits,Articles,Bots,21,2023-08-01
Inuktitut (iu),Edits,Articles,Humans,21,2023-08-01
Inuktitut (iu),Edits,Non-Articles,Bots,2,2023-08-01
Inuktitut (iu),Edits,Non-Articles,Humans,0,2023-08-01
Iñupiaq (ik),Pages,Articles,Bots,0,2023-08-01
Iñupiaq (ik),Pages,Articles,Humans,830,2023-08-01
Iñupiaq (ik),Pages,Non-Articles,Bots,191,2023-08-01
Iñupiaq (ik),Pages,Non-Articles,Humans,1156,2023-08-01
Iñupiaq (ik),Edits,Articles,Bots,0,2023-08-01
Iñupiaq (ik),Edits,Articles,Humans,32,2023-08-01
Iñupiaq (ik),Edits,Non-Articles,Bots,2,2023-08-01
Iñupiaq (ik),Edits,Non-Articles,Humans,1,2023-08-01
Irish (ga),Pages,Articles,Bots,6707,2023-08-01
Irish (ga),Pages,Articles,Humans,52162,2023-08-01
Irish (ga),Pages,Non-Articles,Bots,3217,2023-08-01
Irish (ga),Pages,Non-Articles,Humans,22408,2023-08-01
Irish (ga),Edits,Articles,Bots,6076,2023-08-01
Irish (ga),Edits,Articles,Humans,3011,2023-08-01
Irish (ga),Edits,Non-Articles,Bots,18,2023-08-01
Irish (ga),Edits,Non-Articles,Humans,215,2023-08-01
Italian (it),Pages,Articles,Bots,115269,2023-08-01
Italian (it),Pages,Articles,Humans,1705645,2023-08-01
Italian (it),Pages,Non-Articles,Bots,2537284,2023-08-01
Italian (it),Pages,Non-Articles,Humans,2335819,2023-08-01
Italian (it),Edits,Articles,Bots,83485,2023-08-01
Italian (it),Edits,Articles,Humans,299556,2023-08-01
Italian (it),Edits,Non-Articles,Bots,19549,2023-08-01
Italian (it),Edits,Non-Articles,Humans,80131,2023-08-01
Jamaican Patois (jam),Pages,Articles,Bots,0,2023-08-01
Jamaican Patois (jam),Pages,Articles,Humans,1774,2023-08-01
Jamaican Patois (jam),Pages,Non-Articles,Bots,3,2023-08-01
Jamaican Patois (jam),Pages,Non-Articles,Humans,701,2023-08-01
Jamaican Patois (jam),Edits,Articles,Bots,7,2023-08-01
Jamaican Patois (jam),Edits,Articles,Humans,22,2023-08-01
Jamaican Patois (jam),Edits,Non-Articles,Bots,0,2023-08-01
Jamaican Patois (jam),Edits,Non-Articles,Humans,4,2023-08-01
Japanese (ja),Pages,Articles,Bots,288,2023-08-01
Japanese (ja),Pages,Articles,Humans,1382004,2023-08-01
Japanese (ja),Pages,Non-Articles,Bots,413296,2023-08-01
Japanese (ja),Pages,Non-Articles,Humans,1347958,2023-08-01
Japanese (ja),Edits,Articles,Bots,19146,2023-08-01
Japanese (ja),Edits,Articles,Humans,321392,2023-08-01
Japanese (ja),Edits,Non-Articles,Bots,4521,2023-08-01
Japanese (ja),Edits,Non-Articles,Humans,45173,2023-08-01
Javanese (jv),Pages,Articles,Bots,2414,2023-08-01
Javanese (jv),Pages,Articles,Humans,70734,2023-08-01
Javanese (jv),Pages,Non-Articles,Bots,34378,2023-08-01
Javanese (jv),Pages,Non-Articles,Humans,44962,2023-08-01
Javanese (jv),Edits,Articles,Bots,17,2023-08-01
Javanese (jv),Edits,Articles,Humans,3243,2023-08-01
Javanese (jv),Edits,Non-Articles,Bots,13,2023-08-01
Javanese (jv),Edits,Non-Articles,Humans,175,2023-08-01
Judaeo-Spanish (lad),Pages,Articles,Bots,0,2023-08-01
Judaeo-Spanish (lad),Pages,Articles,Humans,3649,2023-08-01
Judaeo-Spanish (lad),Pages,Non-Articles,Bots,1615,2023-08-01
Judaeo-Spanish (lad),Pages,Non-Articles,Humans,5099,2023-08-01
Judaeo-Spanish (lad),Edits,Articles,Bots,14,2023-08-01
Judaeo-Spanish (lad),Edits,Articles,Humans,103,2023-08-01
Judaeo-Spanish (lad),Edits,Non-Articles,Bots,5,2023-08-01
Judaeo-Spanish (lad),Edits,Non-Articles,Humans,20,2023-08-01
Kabardian (kbd),Pages,Articles,Bots,0,2023-08-01
Kabardian (kbd),Pages,Articles,Humans,1651,2023-08-01
Kabardian (kbd),Pages,Non-Articles,Bots,72,2023-08-01
Kabardian (kbd),Pages,Non-Articles,Humans,4354,2023-08-01
Kabardian (kbd),Edits,Articles,Bots,7,2023-08-01
Kabardian (kbd),Edits,Articles,Humans,170,2023-08-01
Kabardian (kbd),Edits,Non-Articles,Bots,0,2023-08-01
Kabardian (kbd),Edits,Non-Articles,Humans,24,2023-08-01
Kabiye (kbp),Pages,Articles,Bots,0,2023-08-01
Kabiye (kbp),Pages,Articles,Humans,1922,2023-08-01
Kabiye (kbp),Pages,Non-Articles,Bots,4,2023-08-01
Kabiye (kbp),Pages,Non-Articles,Humans,497,2023-08-01
Kabiye (kbp),Edits,Articles,Bots,0,2023-08-01
Kabiye (kbp),Edits,Articles,Humans,6,2023-08-01
Kabiye (kbp),Edits,Non-Articles,Bots,0,2023-08-01
Kabiye (kbp),Edits,Non-Articles,Humans,5,2023-08-01
Kabyle (kab),Pages,Articles,Bots,0,2023-08-01
Kabyle (kab),Pages,Articles,Humans,6762,2023-08-01
Kabyle (kab),Pages,Non-Articles,Bots,1432,2023-08-01
Kabyle (kab),Pages,Non-Articles,Humans,5272,2023-08-01
Kabyle (kab),Edits,Articles,Bots,0,2023-08-01
Kabyle (kab),Edits,Articles,Humans,54,2023-08-01
Kabyle (kab),Edits,Non-Articles,Bots,7,2023-08-01
Kabyle (kab),Edits,Non-Articles,Humans,1,2023-08-01
Kalmyk Oirat (xal),Pages,Articles,Bots,0,2023-08-01
Kalmyk Oirat (xal),Pages,Articles,Humans,2322,2023-08-01
Kalmyk Oirat (xal),Pages,Non-Articles,Bots,155,2023-08-01
Kalmyk Oirat (xal),Pages,Non-Articles,Humans,8971,2023-08-01
Kalmyk Oirat (xal),Edits,Articles,Bots,5,2023-08-01
Kalmyk Oirat (xal),Edits,Articles,Humans,35,2023-08-01
Kalmyk Oirat (xal),Edits,Non-Articles,Bots,3,2023-08-01
Kalmyk Oirat (xal),Edits,Non-Articles,Humans,52,2023-08-01
Kannada (kn),Pages,Articles,Bots,0,2023-08-01
Kannada (kn),Pages,Articles,Humans,31027,2023-08-01
Kannada (kn),Pages,Non-Articles,Bots,2884,2023-08-01
Kannada (kn),Pages,Non-Articles,Humans,87046,2023-08-01
Kannada (kn),Edits,Articles,Bots,159,2023-08-01
Kannada (kn),Edits,Articles,Humans,1900,2023-08-01
Kannada (kn),Edits,Non-Articles,Bots,27,2023-08-01
Kannada (kn),Edits,Non-Articles,Humans,887,2023-08-01
Kapampangan (pam),Pages,Articles,Bots,0,2023-08-01
Kapampangan (pam),Pages,Articles,Humans,8977,2023-08-01
Kapampangan (pam),Pages,Non-Articles,Bots,412,2023-08-01
Kapampangan (pam),Pages,Non-Articles,Humans,8870,2023-08-01
Kapampangan (pam),Edits,Articles,Bots,0,2023-08-01
Kapampangan (pam),Edits,Articles,Humans,45,2023-08-01
Kapampangan (pam),Edits,Non-Articles,Bots,5,2023-08-01
Kapampangan (pam),Edits,Non-Articles,Humans,5,2023-08-01
Karachay-Balkar (krc),Pages,Articles,Bots,375,2023-08-01
Karachay-Balkar (krc),Pages,Articles,Humans,1722,2023-08-01
Karachay-Balkar (krc),Pages,Non-Articles,Bots,101,2023-08-01
Karachay-Balkar (krc),Pages,Non-Articles,Humans,9994,2023-08-01
Karachay-Balkar (krc),Edits,Articles,Bots,7,2023-08-01
Karachay-Balkar (krc),Edits,Articles,Humans,66,2023-08-01
Karachay-Balkar (krc),Edits,Non-Articles,Bots,3,2023-08-01
Karachay-Balkar (krc),Edits,Non-Articles,Humans,32,2023-08-01
Karakalpak (kaa),Pages,Articles,Bots,0,2023-08-01
Karakalpak (kaa),Pages,Articles,Humans,3811,2023-08-01
Karakalpak (kaa),Pages,Non-Articles,Bots,215,2023-08-01
Karakalpak (kaa),Pages,Non-Articles,Humans,4671,2023-08-01
Karakalpak (kaa),Edits,Articles,Bots,53,2023-08-01
Karakalpak (kaa),Edits,Articles,Humans,1098,2023-08-01
Karakalpak (kaa),Edits,Non-Articles,Bots,11,2023-08-01
Karakalpak (kaa),Edits,Non-Articles,Humans,587,2023-08-01
Kashmiri (ks),Pages,Articles,Bots,1243,2023-08-01
Kashmiri (ks),Pages,Articles,Humans,3302,2023-08-01
Kashmiri (ks),Pages,Non-Articles,Bots,1474,2023-08-01
Kashmiri (ks),Pages,Non-Articles,Humans,5350,2023-08-01
Kashmiri (ks),Edits,Articles,Bots,218,2023-08-01
Kashmiri (ks),Edits,Articles,Humans,631,2023-08-01
Kashmiri (ks),Edits,Non-Articles,Bots,89,2023-08-01
Kashmiri (ks),Edits,Non-Articles,Humans,391,2023-08-01
Kashubian (csb),Pages,Articles,Bots,362,2023-08-01
Kashubian (csb),Pages,Articles,Humans,5117,2023-08-01
Kashubian (csb),Pages,Non-Articles,Bots,529,2023-08-01
Kashubian (csb),Pages,Non-Articles,Humans,1921,2023-08-01
Kashubian (csb),Edits,Articles,Bots,5,2023-08-01
Kashubian (csb),Edits,Articles,Humans,113,2023-08-01
Kashubian (csb),Edits,Non-Articles,Bots,2,2023-08-01
Kashubian (csb),Edits,Non-Articles,Humans,10,2023-08-01
Kazakh (kk),Pages,Articles,Bots,120519,2023-08-01
Kazakh (kk),Pages,Articles,Humans,117341,2023-08-01
Kazakh (kk),Pages,Non-Articles,Bots,247686,2023-08-01
Kazakh (kk),Pages,Non-Articles,Humans,71622,2023-08-01
Kazakh (kk),Edits,Articles,Bots,440,2023-08-01
Kazakh (kk),Edits,Articles,Humans,7237,2023-08-01
Kazakh (kk),Edits,Non-Articles,Bots,994,2023-08-01
Kazakh (kk),Edits,Non-Articles,Humans,1038,2023-08-01
Khmer (km),Pages,Articles,Bots,6,2023-08-01
Khmer (km),Pages,Articles,Humans,11954,2023-08-01
Khmer (km),Pages,Non-Articles,Bots,784,2023-08-01
Khmer (km),Pages,Non-Articles,Humans,15425,2023-08-01
Khmer (km),Edits,Articles,Bots,41,2023-08-01
Khmer (km),Edits,Articles,Humans,616,2023-08-01
Khmer (km),Edits,Non-Articles,Bots,6,2023-08-01
Khmer (km),Edits,Non-Articles,Humans,70,2023-08-01
Kikuyu (ki),Pages,Articles,Bots,0,2023-08-01
Kikuyu (ki),Pages,Articles,Humans,1640,2023-08-01
Kikuyu (ki),Pages,Non-Articles,Bots,234,2023-08-01
Kikuyu (ki),Pages,Non-Articles,Humans,1060,2023-08-01
Kikuyu (ki),Edits,Articles,Bots,0,2023-08-01
Kikuyu (ki),Edits,Articles,Humans,113,2023-08-01
Kikuyu (ki),Edits,Non-Articles,Bots,4,2023-08-01
Kikuyu (ki),Edits,Non-Articles,Humans,7,2023-08-01
Kinyarwanda (rw),Pages,Articles,Bots,0,2023-08-01
Kinyarwanda (rw),Pages,Articles,Humans,7988,2023-08-01
Kinyarwanda (rw),Pages,Non-Articles,Bots,283,2023-08-01
Kinyarwanda (rw),Pages,Non-Articles,Humans,4048,2023-08-01
Kinyarwanda (rw),Edits,Articles,Bots,194,2023-08-01
Kinyarwanda (rw),Edits,Articles,Humans,203,2023-08-01
Kinyarwanda (rw),Edits,Non-Articles,Bots,8,2023-08-01
Kinyarwanda (rw),Edits,Non-Articles,Humans,12,2023-08-01
Kirundi (rn),Pages,Articles,Bots,0,2023-08-01
Kirundi (rn),Pages,Articles,Humans,808,2023-08-01
Kirundi (rn),Pages,Non-Articles,Bots,197,2023-08-01
Kirundi (rn),Pages,Non-Articles,Humans,1251,2023-08-01
Kirundi (rn),Edits,Articles,Bots,0,2023-08-01
Kirundi (rn),Edits,Articles,Humans,3,2023-08-01
Kirundi (rn),Edits,Non-Articles,Bots,3,2023-08-01
Kirundi (rn),Edits,Non-Articles,Humans,0,2023-08-01
Komi (kv),Pages,Articles,Bots,0,2023-08-01
Komi (kv),Pages,Articles,Humans,5593,2023-08-01
Komi (kv),Pages,Non-Articles,Bots,178,2023-08-01
Komi (kv),Pages,Non-Articles,Humans,8792,2023-08-01
Komi (kv),Edits,Articles,Bots,16,2023-08-01
Komi (kv),Edits,Articles,Humans,40,2023-08-01
Komi (kv),Edits,Non-Articles,Bots,5,2023-08-01
Komi (kv),Edits,Non-Articles,Humans,64,2023-08-01
Kongo (Kituba) (kg),Pages,Articles,Bots,0,2023-08-01
Kongo (Kituba) (kg),Pages,Articles,Humans,1322,2023-08-01
Kongo (Kituba) (kg),Pages,Non-Articles,Bots,231,2023-08-01
Kongo (Kituba) (kg),Pages,Non-Articles,Humans,1058,2023-08-01
Kongo (Kituba) (kg),Edits,Articles,Bots,1,2023-08-01
Kongo (Kituba) (kg),Edits,Articles,Humans,4,2023-08-01
Kongo (Kituba) (kg),Edits,Non-Articles,Bots,4,2023-08-01
Kongo (Kituba) (kg),Edits,Non-Articles,Humans,0,2023-08-01
Konkani (Goan Konkani) (gom),Pages,Articles,Bots,0,2023-08-01
Konkani (Goan Konkani) (gom),Pages,Articles,Humans,4264,2023-08-01
Konkani (Goan Konkani) (gom),Pages,Non-Articles,Bots,1065,2023-08-01
Konkani (Goan Konkani) (gom),Pages,Non-Articles,Humans,3426,2023-08-01
Konkani (Goan Konkani) (gom),Edits,Articles,Bots,0,2023-08-01
Konkani (Goan Konkani) (gom),Edits,Articles,Humans,26,2023-08-01
Konkani (Goan Konkani) (gom),Edits,Non-Articles,Bots,15,2023-08-01
Konkani (Goan Konkani) (gom),Edits,Non-Articles,Humans,10,2023-08-01
Korean (ko),Pages,Articles,Bots,30339,2023-08-01
Korean (ko),Pages,Articles,Humans,611186,2023-08-01
Korean (ko),Pages,Non-Articles,Bots,793014,2023-08-01
Korean (ko),Pages,Non-Articles,Humans,872803,2023-08-01
Korean (ko),Edits,Articles,Bots,68931,2023-08-01
Korean (ko),Edits,Articles,Humans,100229,2023-08-01
Korean (ko),Edits,Non-Articles,Bots,23859,2023-08-01
Korean (ko),Edits,Non-Articles,Humans,18557,2023-08-01
Kotava (avk),Pages,Articles,Bots,0,2023-08-01
Kotava (avk),Pages,Articles,Humans,28001,2023-08-01
Kotava (avk),Pages,Non-Articles,Bots,3,2023-08-01
Kotava (avk),Pages,Non-Articles,Humans,5647,2023-08-01
Kotava (avk),Edits,Articles,Bots,1,2023-08-01
Kotava (avk),Edits,Articles,Humans,480,2023-08-01
Kotava (avk),Edits,Non-Articles,Bots,0,2023-08-01
Kotava (avk),Edits,Non-Articles,Humans,105,2023-08-01
Kurdish (Kurmanji) (ku),Pages,Articles,Bots,788,2023-08-01
Kurdish (Kurmanji) (ku),Pages,Articles,Humans,59000,2023-08-01
Kurdish (Kurmanji) (ku),Pages,Non-Articles,Bots,5589,2023-08-01
Kurdish (Kurmanji) (ku),Pages,Non-Articles,Humans,25833,2023-08-01
Kurdish (Kurmanji) (ku),Edits,Articles,Bots,119,2023-08-01
Kurdish (Kurmanji) (ku),Edits,Articles,Humans,2821,2023-08-01
Kurdish (Kurmanji) (ku),Edits,Non-Articles,Bots,78,2023-08-01
Kurdish (Kurmanji) (ku),Edits,Non-Articles,Humans,330,2023-08-01
Kurdish (Sorani) (ckb),Pages,Articles,Bots,12456,2023-08-01
Kurdish (Sorani) (ckb),Pages,Articles,Humans,38595,2023-08-01
Kurdish (Sorani) (ckb),Pages,Non-Articles,Bots,39486,2023-08-01
Kurdish (Sorani) (ckb),Pages,Non-Articles,Humans,59534,2023-08-01
Kurdish (Sorani) (ckb),Edits,Articles,Bots,459,2023-08-01
Kurdish (Sorani) (ckb),Edits,Articles,Humans,4362,2023-08-01
Kurdish (Sorani) (ckb),Edits,Non-Articles,Bots,579,2023-08-01
Kurdish (Sorani) (ckb),Edits,Non-Articles,Humans,1412,2023-08-01
Kyrgyz (ky),Pages,Articles,Bots,50035,2023-08-01
Kyrgyz (ky),Pages,Articles,Humans,30643,2023-08-01
Kyrgyz (ky),Pages,Non-Articles,Bots,645,2023-08-01
Kyrgyz (ky),Pages,Non-Articles,Humans,15485,2023-08-01
Kyrgyz (ky),Edits,Articles,Bots,71,2023-08-01
Kyrgyz (ky),Edits,Articles,Humans,529,2023-08-01
Kyrgyz (ky),Edits,Non-Articles,Bots,9,2023-08-01
Kyrgyz (ky),Edits,Non-Articles,Humans,279,2023-08-01
Ladin (lld),Pages,Articles,Bots,0,2023-08-01
Ladin (lld),Pages,Articles,Humans,169470,2023-08-01
Ladin (lld),Pages,Non-Articles,Bots,6,2023-08-01
Ladin (lld),Pages,Non-Articles,Humans,3704,2023-08-01
Ladin (lld),Edits,Articles,Bots,2,2023-08-01
Ladin (lld),Edits,Articles,Humans,2056,2023-08-01
Ladin (lld),Edits,Non-Articles,Bots,2,2023-08-01
Ladin (lld),Edits,Non-Articles,Humans,215,2023-08-01
Lak (lbe),Pages,Articles,Bots,50,2023-08-01
Lak (lbe),Pages,Articles,Humans,1228,2023-08-01
Lak (lbe),Pages,Non-Articles,Bots,158,2023-08-01
Lak (lbe),Pages,Non-Articles,Humans,13042,2023-08-01
Lak (lbe),Edits,Articles,Bots,1,2023-08-01
Lak (lbe),Edits,Articles,Humans,28,2023-08-01
Lak (lbe),Edits,Non-Articles,Bots,4,2023-08-01
Lak (lbe),Edits,Non-Articles,Humans,38,2023-08-01
Lao (lo),Pages,Articles,Bots,17,2023-08-01
Lao (lo),Pages,Articles,Humans,4988,2023-08-01
Lao (lo),Pages,Non-Articles,Bots,275,2023-08-01
Lao (lo),Pages,Non-Articles,Humans,5667,2023-08-01
Lao (lo),Edits,Articles,Bots,20,2023-08-01
Lao (lo),Edits,Articles,Humans,731,2023-08-01
Lao (lo),Edits,Non-Articles,Bots,14,2023-08-01
Lao (lo),Edits,Non-Articles,Humans,247,2023-08-01
Latgalian (ltg),Pages,Articles,Bots,0,2023-08-01
Latgalian (ltg),Pages,Articles,Humans,1065,2023-08-01
Latgalian (ltg),Pages,Non-Articles,Bots,142,2023-08-01
Latgalian (ltg),Pages,Non-Articles,Humans,1736,2023-08-01
Latgalian (ltg),Edits,Articles,Bots,3,2023-08-01
Latgalian (ltg),Edits,Articles,Humans,25,2023-08-01
Latgalian (ltg),Edits,Non-Articles,Bots,0,2023-08-01
Latgalian (ltg),Edits,Non-Articles,Humans,4,2023-08-01
Latin (la),Pages,Articles,Bots,5402,2023-08-01
Latin (la),Pages,Articles,Humans,132657,2023-08-01
Latin (la),Pages,Non-Articles,Bots,5076,2023-08-01
Latin (la),Pages,Non-Articles,Humans,68921,2023-08-01
Latin (la),Edits,Articles,Bots,474,2023-08-01
Latin (la),Edits,Articles,Humans,3067,2023-08-01
Latin (la),Edits,Non-Articles,Bots,39,2023-08-01
Latin (la),Edits,Non-Articles,Humans,1744,2023-08-01
Latvian (lv),Pages,Articles,Bots,13,2023-08-01
Latvian (lv),Pages,Articles,Humans,121710,2023-08-01
Latvian (lv),Pages,Non-Articles,Bots,6701,2023-08-01
Latvian (lv),Pages,Non-Articles,Humans,200825,2023-08-01
Latvian (lv),Edits,Articles,Bots,2098,2023-08-01
Latvian (lv),Edits,Articles,Humans,11389,2023-08-01
Latvian (lv),Edits,Non-Articles,Bots,220,2023-08-01
Latvian (lv),Edits,Non-Articles,Humans,2517,2023-08-01
Lezgian (lez),Pages,Articles,Bots,0,2023-08-01
Lezgian (lez),Pages,Articles,Humans,4326,2023-08-01
Lezgian (lez),Pages,Non-Articles,Bots,56,2023-08-01
Lezgian (lez),Pages,Non-Articles,Humans,7355,2023-08-01
Lezgian (lez),Edits,Articles,Bots,4,2023-08-01
Lezgian (lez),Edits,Articles,Humans,31,2023-08-01
Lezgian (lez),Edits,Non-Articles,Bots,7,2023-08-01
Lezgian (lez),Edits,Non-Articles,Humans,42,2023-08-01
Lhasa Tibetan (bo),Pages,Articles,Bots,0,2023-08-01
Lhasa Tibetan (bo),Pages,Articles,Humans,12809,2023-08-01
Lhasa Tibetan (bo),Pages,Non-Articles,Bots,311,2023-08-01
Lhasa Tibetan (bo),Pages,Non-Articles,Humans,3124,2023-08-01
Lhasa Tibetan (bo),Edits,Articles,Bots,0,2023-08-01
Lhasa Tibetan (bo),Edits,Articles,Humans,189,2023-08-01
Lhasa Tibetan (bo),Edits,Non-Articles,Bots,3,2023-08-01
Lhasa Tibetan (bo),Edits,Non-Articles,Humans,3,2023-08-01
Ligurian (lij),Pages,Articles,Bots,0,2023-08-01
Ligurian (lij),Pages,Articles,Humans,11177,2023-08-01
Ligurian (lij),Pages,Non-Articles,Bots,218,2023-08-01
Ligurian (lij),Pages,Non-Articles,Humans,12639,2023-08-01
Ligurian (lij),Edits,Articles,Bots,0,2023-08-01
Ligurian (lij),Edits,Articles,Humans,364,2023-08-01
Ligurian (lij),Edits,Non-Articles,Bots,5,2023-08-01
Ligurian (lij),Edits,Non-Articles,Humans,100,2023-08-01
Limburgish (li),Pages,Articles,Bots,4,2023-08-01
Limburgish (li),Pages,Articles,Humans,14514,2023-08-01
Limburgish (li),Pages,Non-Articles,Bots,952,2023-08-01
Limburgish (li),Pages,Non-Articles,Humans,9545,2023-08-01
Limburgish (li),Edits,Articles,Bots,17,2023-08-01
Limburgish (li),Edits,Articles,Humans,515,2023-08-01
Limburgish (li),Edits,Non-Articles,Bots,5,2023-08-01
Limburgish (li),Edits,Non-Articles,Humans,16,2023-08-01
Lingala (ln),Pages,Articles,Bots,0,2023-08-01
Lingala (ln),Pages,Articles,Humans,3523,2023-08-01
Lingala (ln),Pages,Non-Articles,Bots,317,2023-08-01
Lingala (ln),Pages,Non-Articles,Humans,3564,2023-08-01
Lingala (ln),Edits,Articles,Bots,0,2023-08-01
Lingala (ln),Edits,Articles,Humans,23,2023-08-01
Lingala (ln),Edits,Non-Articles,Bots,5,2023-08-01
Lingala (ln),Edits,Non-Articles,Humans,1,2023-08-01
Lingua Franca Nova (lfn),Pages,Articles,Bots,0,2023-08-01
Lingua Franca Nova (lfn),Pages,Articles,Humans,4810,2023-08-01
Lingua Franca Nova (lfn),Pages,Non-Articles,Bots,5,2023-08-01
Lingua Franca Nova (lfn),Pages,Non-Articles,Humans,1414,2023-08-01
Lingua Franca Nova (lfn),Edits,Articles,Bots,4,2023-08-01
Lingua Franca Nova (lfn),Edits,Articles,Humans,36,2023-08-01
Lingua Franca Nova (lfn),Edits,Non-Articles,Bots,0,2023-08-01
Lingua Franca Nova (lfn),Edits,Non-Articles,Humans,8,2023-08-01
Lithuanian (lt),Pages,Articles,Bots,3430,2023-08-01
Lithuanian (lt),Pages,Articles,Humans,208754,2023-08-01
Lithuanian (lt),Pages,Non-Articles,Bots,93410,2023-08-01
Lithuanian (lt),Pages,Non-Articles,Humans,104924,2023-08-01
Lithuanian (lt),Edits,Articles,Bots,615,2023-08-01
Lithuanian (lt),Edits,Articles,Humans,20889,2023-08-01
Lithuanian (lt),Edits,Non-Articles,Bots,123,2023-08-01
Lithuanian (lt),Edits,Non-Articles,Humans,2150,2023-08-01
Livvi-Karelian (olo),Pages,Articles,Bots,0,2023-08-01
